model,n_runs,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std
KNN,10,0.5158333333333333,0.05506029242992754,0.4902542870268018,0.06707926139789455,0.5135982553743247,0.05267028756292741
Random Forest,10,0.6041666666666666,0.03197462342561484,0.5783446730806698,0.034601638313613084,0.5939447440166352,0.031255629194847534
SVM,10,0.5383333333333333,0.050030854677419676,0.5145156026090085,0.049628883804364456,0.5342550642980249,0.04845147851409286
