model,analysis,perturbation,strength,condition,n_samples,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,precision_mel,precision_nv,precision_vasc,recall_mel,recall_nv,recall_vasc,f1_mel,f1_nv,f1_vasc,prediction_invariance,accuracy_retention,f1_macro_retention,delta_accuracy,delta_f1_macro,confusion_matrix
Random Forest,perturbation,blur,radius=1,blur:radius=1,120,0.6583333333333333,0.6908831908831908,0.6584656084656085,0.6575903967208315,0.6414361001317523,0.6666666666666666,0.6282051282051282,0.7777777777777778,0.38095238095238093,0.8166666666666667,0.7777777777777778,0.48484848484848486,0.7101449275362319,0.7777777777777778,0.775,0.8977272727272728,0.8935156015423188,-0.07499999999999996,-0.0783680975525185,"[[16, 25, 1], [8, 49, 3], [0, 4, 14]]"
KNN,perturbation,blur,radius=1,blur:radius=1,120,0.7166666666666667,0.6890838206627681,0.6917989417989419,0.6899990175852245,0.7176613616268789,0.6666666666666666,0.7894736842105263,0.6111111111111112,0.7142857142857143,0.75,0.6111111111111112,0.6896551724137931,0.7692307692307693,0.6111111111111112,0.7166666666666667,1.0750000000000002,1.0266149876444366,0.050000000000000044,0.01788822055855721,"[[30, 8, 4], [12, 45, 3], [3, 4, 11]]"
SVM,perturbation,blur,radius=2,blur:radius=2,120,0.4083333333333333,0.5524317723266433,0.49973544973544975,0.355722650783858,0.3832495280152519,0.75,0.6744186046511628,0.2328767123287671,0.07142857142857142,0.48333333333333334,0.9444444444444444,0.13043478260869565,0.5631067961165048,0.37362637362637363,0.4083333333333333,0.5632183908045977,0.48328949521447234,-0.31666666666666665,-0.3803220063134306,"[[3, 13, 26], [1, 29, 30], [0, 1, 17]]"
Random Forest,perturbation,blur,radius=2,blur:radius=2,120,0.65,0.7190539137003116,0.6280423280423281,0.6201821668264621,0.6113446788111218,0.7857142857142857,0.6067415730337079,0.7647058823529411,0.2619047619047619,0.9,0.7222222222222222,0.39285714285714285,0.7248322147651006,0.7428571428571429,0.7333333333333333,0.8863636363636365,0.8426863357814766,-0.08333333333333326,-0.11577632744688793,"[[11, 30, 1], [3, 54, 3], [0, 5, 13]]"
KNN,perturbation,blur,radius=2,blur:radius=2,120,0.675,0.6465079365079366,0.6674603174603174,0.6500436256250209,0.6784178999295278,0.7428571428571429,0.7166666666666667,0.48,0.6190476190476191,0.7166666666666667,0.6666666666666666,0.6753246753246753,0.7166666666666667,0.5581395348837209,0.6583333333333333,1.0125000000000002,0.9671673606505523,0.008333333333333415,-0.02206717140164638,"[[26, 13, 3], [7, 43, 10], [2, 4, 12]]"
SVM,perturbation,rotate_crop,"angle=5,crop=0.96","rotate_crop:angle=5,crop=0.96",120,0.7083333333333334,0.7354816354816354,0.724867724867725,0.7157324830953592,0.6950383531260108,0.7307692307692307,0.6756756756756757,0.8,0.4523809523809524,0.8333333333333334,0.8888888888888888,0.5588235294117647,0.746268656716418,0.8421052631578947,0.7583333333333333,0.9770114942528736,0.9724036119193722,-0.016666666666666607,-0.020312174001929417,"[[19, 22, 1], [7, 50, 3], [0, 2, 16]]"
Random Forest,perturbation,rotate_crop,"angle=5,crop=0.96","rotate_crop:angle=5,crop=0.96",120,0.6416666666666667,0.6733634992458523,0.6343915343915344,0.6387070856895646,0.6264188374895707,0.64,0.6153846153846154,0.7647058823529411,0.38095238095238093,0.8,0.7222222222222222,0.47761194029850745,0.6956521739130435,0.7428571428571429,0.8,0.8750000000000001,0.8678574819904663,-0.09166666666666656,-0.09725140858378545,"[[16, 25, 1], [9, 48, 3], [0, 5, 13]]"
KNN,perturbation,rotate_crop,"angle=5,crop=0.96","rotate_crop:angle=5,crop=0.96",120,0.7416666666666667,0.7289633682930536,0.7214285714285714,0.7249766573295986,0.7415826330532214,0.6976744186046512,0.7833333333333333,0.7058823529411765,0.7142857142857143,0.7833333333333333,0.6666666666666666,0.7058823529411765,0.7833333333333333,0.6857142857142857,0.725,1.1125,1.0786564663695377,0.07500000000000007,0.05286586030293128,"[[30, 10, 2], [10, 47, 3], [3, 3, 12]]"
SVM,perturbation,rotate_crop,"angle=10,crop=0.92","rotate_crop:angle=10,crop=0.92",120,0.6583333333333333,0.6654573908095034,0.6761904761904761,0.6580097355902201,0.6462537338201128,0.6666666666666666,0.647887323943662,0.6818181818181818,0.42857142857142855,0.7666666666666667,0.8333333333333334,0.5217391304347826,0.7022900763358778,0.75,0.6916666666666667,0.9080459770114943,0.8939807241929969,-0.06666666666666665,-0.07803492150706848,"[[18, 22, 2], [9, 46, 5], [0, 3, 15]]"
Random Forest,perturbation,rotate_crop,"angle=10,crop=0.92","rotate_crop:angle=10,crop=0.92",120,0.6166666666666667,0.6229925577751665,0.6283068783068783,0.6053690272838436,0.5997983814510935,0.6521739130434783,0.6081081081081081,0.6086956521739131,0.35714285714285715,0.75,0.7777777777777778,0.46153846153846156,0.6716417910447762,0.6829268292682927,0.7333333333333333,0.840909090909091,0.8225586524163374,-0.11666666666666659,-0.13058946698950646,"[[15, 25, 2], [8, 45, 7], [0, 4, 14]]"
KNN,perturbation,rotate_crop,"angle=10,crop=0.92","rotate_crop:angle=10,crop=0.92",120,0.6583333333333333,0.6374003153173838,0.6304232804232804,0.633739997376361,0.6577528532073986,0.6190476190476191,0.7049180327868853,0.5882352941176471,0.6190476190476191,0.7166666666666667,0.5555555555555556,0.6190476190476191,0.7107438016528925,0.5714285714285714,0.65,0.9875,0.9429100085580326,-0.008333333333333304,-0.03837079965030632,"[[26, 13, 3], [13, 43, 4], [3, 5, 10]]"
