模型,准确率,精确率(Macro),召回率(Macro),F1(Macro),F1(Weighted)
SVM,0.7250,0.7267,0.7492,0.7360,0.7255
Random Forest,0.7333,0.7332,0.7394,0.7360,0.7330
KNN,0.6667,0.6836,0.6667,0.6721,0.6698
